fii_name,quote,dividend_yield,price_book_ratio,liquidity,appreciation_12months,vacancy,number_unit_holders,issued_units,net_asset_value_per_unit,net_asset_value,last_dividend_payment,corporate_name,cnpj,target_audience,invest_objective,market_sector,fund_type,fund_term,management_type,management_fee,date_process
MXRF11,"R$ 9,33","12,77%","0,97","R$ 16,84 M","-3,22%",-,1.205.498,437.325.286,"R$ 9,65","R$ 4,22 Bilhões","R$ 0,09",MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,97.521.225/0001-25,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,"0,90% a.a (mínimo de R$ 60 mil mensais)",2024-11-09
HGLG11,"R$ 154,21","8,55%","0,98","R$ 8,38 M","5,90%","5,00%",491.088,33.787.564,"R$ 157,39","R$ 5,32 Bilhões","R$ 1,10",CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.728.688/0001-47,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,60% a.a",2024-11-09
XPML11,"R$ 104,14","10,47%","0,88","R$ 19,91 M","1,61%","4,20%",546.996,55.320.180,"R$ 118,32","R$ 6,55 Bilhões","R$ 0,92",XP Malls Fundo de Investimento Imobiliario - Fii,28.757.546/0001-00,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"0,55% a.a",2024-11-09
VGHF11,"R$ 7,84","14,16%","0,88","R$ 4,77 M","-4,74%",-,412.786,164.721.672,"R$ 8,92","R$ 1,47 Bilhão","R$ 0,09",VALORA HEDGE FUND. FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,36.771.692/0001-19,Geral,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,"0,90% a.a sobre patrimônio liquido (minimo R$10.000,00 mensais)",2024-11-09
KNCR11,"R$ 103,30","11,48%","1,02","R$ 17,54 M","14,65%",-,376.595,69.489.263,"R$ 101,49","R$ 7,05 Bilhões","R$ 1,02",KINEA RENDIMENTOS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,16.706.958/0001-32,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00 % a.a",2024-11-09
KNRI11,"R$ 138,00","8,72%","0,85","R$ 13,59 M","-7,95%","2,75%",281.187,28.204.036,"R$ 161,81","R$ 4,56 Bilhões","R$ 1,00",KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,12.005.956/0001-65,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,25% a.a",2024-11-09
VISC11,"R$ 102,85","10,82%","0,81","R$ 5,42 M","-3,45%","6,00%",354.090,28.828.629,"R$ 126,45","R$ 3,65 Bilhões","R$ 0,80",VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.554.274/0001-25,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"1,35% a.a sobre patrimônio liquido",2024-11-09
XPLG11,"R$ 97,00","9,65%","0,86","R$ 4,05 M","-2,56%","1,60%",351.102,29.613.222,"R$ 112,47","R$ 3,33 Bilhões","R$ 0,78",XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.502.794/0001-85,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)",2024-11-09
GARE11,"R$ 9,07","11,48%","1,01","R$ 5,97 M","9,01%",-,272.837,125.866.034,"R$ 9,00","R$ 1,13 Bilhão","R$ 0,09",FUND. DE INVEST. IMOBILIÁRIO GUARDIAN REAL ESTATE,37.295.919/0001-60,Investidor Qualificado,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,94% - 1,00% a.a sobre PL",2024-11-09
CPTS11,"R$ 7,28","12,10%","0,84","R$ 14,34 M","-0,82%",-,386.169,317.828.129,"R$ 8,71","R$ 2,77 Bilhões","R$ 0,07",CAPITANIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.979.895/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,05% a.a sobre patrimônio líquido (minimo R$30.000,00 mensais)",2024-11-09
VGIR11,"R$ 9,62","13,31%","0,99","R$ 5,12 M","11,73%",-,262.272,146.101.276,"R$ 9,73","R$ 1,42 Bilhão","R$ 0,10",VALORA RE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.852.732/0001-91,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a sobre patrimônio liquido (minimo R$20.000,00 mensais)",2024-11-09
BTLG11,"R$ 97,75","9,44%","0,94","R$ 10,26 M","7,44%","2,90%",360.945,43.249.140,"R$ 104,37","R$ 4,51 Bilhões","R$ 0,78",BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.839.593/0001-09,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,9% a.a. sobre o Valor de Mercado",2024-11-09
VGIA11,"R$ 8,36","15,69%","0,90","R$ 2,44 M","3,72%",-,172.742,86.455.106,"R$ 9,30","R$ 804,34 Milhões","R$ 0,12",VALORA CRA FDO INV NAS CAD PROD AGRO,41.081.088/0001-09,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
BCFF11,"R$ 7,35","12,51%","0,81","R$ 4,13 M","-6,96%",-,356.264,201.491.013,"R$ 9,13","R$ 1,84 Bilhão","R$ 0,07",FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL FUNDO DE FUNDOS,11.026.627/0001-38,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,15% a.a",2024-11-09
HSML11,"R$ 87,79","10,78%","0,82","R$ 3,40 M","4,65%","4,80%",197.988,20.808.561,"R$ 107,70","R$ 2,24 Bilhões","R$ 0,80",HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.892.018/0001-31,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"1,20% a.a",2024-11-09
GGRC11,"R$ 10,17","10,88%","0,90","R$ 1,50 M",-,-,132.512,105.802.718,"R$ 11,33","R$ 1,20 Bilhão","R$ 0,10",GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.614.291/0001-00,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"1,10% a.a.",2024-11-09
ALZR11,"R$ 101,11","9,12%","0,96","R$ 2,14 M","-4,27%",-,157.185,12.226.614,"R$ 105,55","R$ 1,29 Bilhão","R$ 0,73",ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO,28.737.771/0001-85,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,20% a.a",2024-11-09
TRXF11,"R$ 100,30","11,88%","0,96","R$ 5,91 M","3,12%",-,184.664,20.035.552,"R$ 104,60","R$ 2,10 Bilhões","R$ 0,93",TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.548.288/0001-52,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido",2024-11-09
VINO11,"R$ 5,01","13,43%","0,47","R$ 944,48 K","-29,63%","3,00%",153.171,82.826.284,"R$ 10,68","R$ 884,34 Milhões","R$ 0,05",VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.516.185/0001-70,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,20% a.a",2024-11-09
HGRU11,"R$ 116,98","10,34%","0,93","R$ 4,62 M","-1,41%","1,30%",203.660,18.406.447,"R$ 125,36","R$ 2,31 Bilhões","R$ 0,90",CSHG RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.641.226/0001-53,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,"0,90% a.a sobre valor de mercado do fundo",2024-11-09
MALL11,"R$ 99,80","10,09%","0,84","R$ 2,28 M","-6,21%","4,00%",134.656,12.972.956,"R$ 119,26","R$ 1,55 Bilhão","R$ 0,78",MALLS BRASIL PLURAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.499.833/0001-32,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"0,50% a.a",2024-11-09
