fii_name,fii_type,date_process
MXRF11,Fii,2024-11-09
HGLG11,Fii,2024-11-09
XPML11,Fii,2024-11-09
VGHF11,Fii,2024-11-09
KNCR11,Fii,2024-11-09
KNRI11,Fii,2024-11-09
VISC11,Fii,2024-11-09
XPLG11,Fii,2024-11-09
GARE11,Fii,2024-11-09
CPTS11,Fii,2024-11-09
VGIR11,Fii,2024-11-09
BTLG11,Fii,2024-11-09
VGIA11,Fii,2024-11-09
BCFF11,Fii,2024-11-09
HSML11,Fii,2024-11-09
GGRC11,Fii,2024-11-09
ALZR11,Fii,2024-11-09
TRXF11,Fii,2024-11-09
VINO11,Fii,2024-11-09
HGRU11,Fii,2024-11-09
MALL11,Fii,2024-11-09
RZTR11,Fii,2024-11-09
XPCA11,Fii,2024-11-09
IRDM11,Fii,2024-11-09
KNSC11,Fii,2024-11-09
HGRE11,Fii,2024-11-09
TGAR11,Fii,2024-11-09
RZAG11,Fii,2024-11-09
HGBS11,Fii,2024-11-09
HCTR11,Fii,2024-11-09
LVBI11,Fii,2024-11-09
PVBI11,Fii,2024-11-09
KISU11,Fii,2024-11-09
RURA11,Fii,2024-11-09
VILG11,Fii,2024-11-09
KNCA11,Fii,2024-11-09
SNAG11,Fii,2024-11-09
KNIP11,Fii,2024-11-09
BRCO11,Fii,2024-11-09
DEVA11,Fii,2024-11-09
HGCR11,Fii,2024-11-09
RECR11,Fii,2024-11-09
BRCR11,Fii,2024-11-09
HSLG11,Fii,2024-11-09
URPR11,Fii,2024-11-09
RBRR11,Fii,2024-11-09
HABT11,Fii,2024-11-09
VIUR11,Fii,2024-11-09
GTWR11,Fii,2024-11-09
FGAA11,Fii,2024-11-09
HTMX11,Fii,2024-11-09
JSRE11,Fii,2024-11-09
XPSF11,Fii,2024-11-09
RBRF11,Fii,2024-11-09
VRTA11,Fii,2024-11-09
RZAK11,Fii,2024-11-09
MCCI11,Fii,2024-11-09
CACR11,Fii,2024-11-09
MFII11,Fii,2024-11-09
VSLH11,Fii,2024-11-09
RBVA11,Fii,2024-11-09
CPTR11,Fii,2024-11-09
HFOF11,Fii,2024-11-09
JURO11,Fii,2024-11-09
SARE11,Fii,2024-11-09
RZAT11,Fii,2024-11-09
RBRY11,Fii,2024-11-09
NEWL11,Fii,2024-11-09
CVBI11,Fii,2024-11-09
BDIF11,Fii,2024-11-09
GAME11,Fii,2024-11-09
BCRI11,Fii,2024-11-09
BTAL11,Fii,2024-11-09
XPPR11,Fii,2024-11-09
XPIN11,Fii,2024-11-09
XPCI11,Fii,2024-11-09
PORD11,Fii,2024-11-09
VGIP11,Fii,2024-11-09
RBRP11,Fii,2024-11-09
DCRA11,Fii,2024-11-09
TORD11,Fii,2024-11-09
AFHI11,Fii,2024-11-09
EGAF11,Fii,2024-11-09
AGRX11,Fii,2024-11-09
TEPP11,Fii,2024-11-09
FIIB11,Fii,2024-11-09
AAZQ11,Fii,2024-11-09
RECT11,Fii,2024-11-09
SNEL11,Fii,2024-11-09
OIAG11,Fii,2024-11-09
BBGO11,Fii,2024-11-09
BLMG11,Fii,2024-11-09
CYCR11,Fii,2024-11-09
ARRI11,Fii,2024-11-09
PATL11,Fii,2024-11-09
CPSH11,Fii,2024-11-09
CPTI11,Fii,2024-11-09
KDIF11,Fii,2024-11-09
TVRI11,Fii,2024-11-09
SNCI11,Fii,2024-11-09
IFRA11,Fii,2024-11-09
CARE11,Fii,2024-11-09
