fii_name,property_name,state,area,date_process
MXRF11,ABSOLUTO MARIA MONTEIRO,Estado: São Paulo,"Área bruta locável: 145,36 m²",2024-11-09
MXRF11,EDIFÍCIO ST. LOUIS,Estado: São Paulo,"Área bruta locável: 317,38 m²",2024-11-09
MXRF11,EDIFÍCIO CENTRO EXECUTIVO DO PAÇO,Estado: São Paulo,"Área bruta locável: 303,61 m²",2024-11-09
HGLG11,GERDAU RIO DE JANEIRO,Estado: Rio de Janeiro,"Área bruta locável: 16.532,00 m²",2024-11-09
HGLG11,BETIM,Estado: Minas Gerais,"Área bruta locável: 62.587,00 m²",2024-11-09
HGLG11,GR LOUVEIRA,Estado: São Paulo,"Área bruta locável: 55.202,00 m²",2024-11-09
HGLG11,BRASCABOS RIO CLARO,Estado: São Paulo,"Área bruta locável: 11.492,00 m²",2024-11-09
HGLG11,ITUPEVA G100,Estado: São Paulo,"Área bruta locável: 58.828,00 m²",2024-11-09
HGLG11,CONDOMÍNIO SJC,Estado: São Paulo,"Área bruta locável: 69.466,00 m²",2024-11-09
HGLG11,CREMER BLUMENAU,Estado: Santa Catarina,"Área bruta locável: 65.825,00 m²",2024-11-09
HGLG11,TECH TOWN,Estado: São Paulo,"Área bruta locável: 7.885,00 m²",2024-11-09
HGLG11,GALPÃO CONE G06,Estado: Pernambuco,"Área bruta locável: 15.731,00 . m²",2024-11-09
HGLG11,TETRA PAK MONTE MOR,Estado: São Paulo,"Área bruta locável: 24.696,00 m²",2024-11-09
HGLG11,GALPÕES EXTREMA,Estado: Minas Gerais,"Área bruta locável: 34.101,00 m²",2024-11-09
HGLG11,VOLKSWAGEN VINHEDO,Estado: São Paulo,"Área bruta locável: 132.353,00 m²",2024-11-09
HGLG11,HGLG SÃO CARLOS,Estado: São Paulo,"Área bruta locável: 79.642,19 m²",2024-11-09
HGLG11,HGLG DUQUE DE CAXIAS,Estado: Rio de Janeiro,"Área bruta locável: 24.502,00 m²",2024-11-09
HGLG11,BTEIM BTS - MELI,Estado: Minas Gerais,"Área bruta locável: 95.730,00 m²",2024-11-09
HGLG11,ITUPEVA G200,Estado: São Paulo,"Área bruta locável: 89.976,00 m²",2024-11-09
HGLG11,HGLG RIBEIRÃO,Estado: São Paulo,"Área bruta locável: 59.875,00 m²",2024-11-09
HGLG11,PARQUE TORINO,Estado: Minas Gerais,"Área bruta locável: 66.040,00 m²",2024-11-09
HGLG11,CLE,Estado: São Paulo,"Área bruta locável: 66.521,00 m²",2024-11-09
HGLG11,DCB,Estado: São Paulo,"Área bruta locável: 90.484,00 m²",2024-11-09
HGLG11,DCC,Estado: São Paulo,"Área bruta locável: 102.708,00 m²",2024-11-09
HGLG11,DCR,Estado: São Paulo,"Área bruta locável: 77.587,00 m²",2024-11-09
HGLG11,HGLG ITAPEVI,Estado: São Paulo,"Área bruta locável: 34.286,00 m²",2024-11-09
HGLG11,MASTER LABS,Estado: São Paulo,"Área bruta locável: 14.337,00 m²",2024-11-09
HGLG11,SYSLOG,Estado: Rio de Janeiro,"Área bruta locável: 57.034,00 m²",2024-11-09
HGLG11,GALPÃO CONE G03,Estado: Pernambuco,"Área bruta locável: 49.233,00 m²",2024-11-09
XPML11,FASHION OUTLET CATARINA,Estado: São Paulo,"Área bruta locável: 50.835,00 m²",2024-11-09
XPML11,SHOPPING PLAZA SUL,Estado: São Paulo,"Área bruta locável: 24.039,00 m²",2024-11-09
XPML11,SHOPPING SANTANA PARQUE,Estado: São Paulo,"Área bruta locável: 26.565,00 m²",2024-11-09
XPML11,CAXIAS SHOPPING,Estado: Rio de Janeiro,"Área bruta locável: 28.181,00 m²",2024-11-09
XPML11,BELA VISTA SHOPPING,Estado: Bahia,"Área bruta locável: 51.145,00 m²",2024-11-09
XPML11,JARDIM SHOPS CIDADE,Estado: São Paulo,"Área bruta locável: 47.080,00 m²",2024-11-09
XPML11,SHOPPING INTERNACIONAL,Estado: São Paulo,"Área bruta locável: 75.721,00 m²",2024-11-09
XPML11,SÃO PAULO SHOPPING CIDADE,Estado: São Paulo,"Área bruta locável: 16.906,00 m²",2024-11-09
XPML11,SHOPPING NATAL,Estado: Rio Grande do Norte,"Área bruta locável: 28.363,00 m²",2024-11-09
XPML11,DOWNTOWN SHOPPING,Estado: Rio de Janeiro,"Área bruta locável: 9.611,00 m²",2024-11-09
XPML11,SHOPPING ESTAÇÃO BH,Estado: Minas Gerais,"Área bruta locável: 37.530,00 m²",2024-11-09
XPML11,SHOPPING PONTA NEGRA,Estado: Amazonas,"Área bruta locável: 36.349,00 m²",2024-11-09
XPML11,SHOPPING BAHIA,Estado: Bahia,"Área bruta locável: 70.509,00 m²",2024-11-09
XPML11,VIA PARQUE SHOPPING,Estado: Rio de Janeiro,"Área bruta locável: 57.000,00 m²",2024-11-09
XPML11,CAMPINAS SHOPPING,Estado: São Paulo,"Área bruta locável: 36.152,00 m²",2024-11-09
XPML11,CJ SHOPS JARDINS,Estado: São Paulo,"Área bruta locável: 4.499,00 m²",2024-11-09
XPML11,PRAIA DE BELAS SHOPPING,Estado: Rio Grande do Sul,"Área bruta locável: 47.205,00 m²",2024-11-09
XPML11,SHOPPING ESTAÇÃO,Estado: Paraná,"Área bruta locável: 27.663,00 m²",2024-11-09
XPML11,TIETÊ PLAZA SHOPPING,Estado: São Paulo,"Área bruta locável: 37.000,00 m²",2024-11-09
XPML11,SHOPPING D,Estado: São Paulo,"Área bruta locável: 29.787,00 m²",2024-11-09
XPML11,GRAND PLAZA SHOPPING,Estado: São Paulo,"Área bruta locável: 72.000,00 m²",2024-11-09
XPML11,SHOPPING METROPOLITANO BARRA,Estado: Rio de Janeiro,"Área bruta locável: 44.035,00 m²",2024-11-09
XPML11,UBERLÂNDIA SHOPPING,Estado: Minas Gerais,"Área bruta locável: 53.490,00 m²",2024-11-09
KNRI11,ATHENAS,Estado: São Paulo,"Área bruta locável: 6.759,30 m²",2024-11-09
KNRI11,SANTA CRUZ CENTRO DE DISTRIBUIÇÃO,Estado: Rio de Janeiro,"Área bruta locável: 64.860,00 m²",2024-11-09
KNRI11,CORPORATE TOWER EDFÍCIO BOULEVARD,Estado: Minas Gerais,"Área bruta locável: 20.426,00 m²",2024-11-09
KNRI11,BELA PAULISTA,Estado: São Paulo,"Área bruta locável: 6.521,00 m²",2024-11-09
KNRI11,DIOGO MOREIRA EDIFÍCIO,Estado: São Paulo,"Área bruta locável: 12.105,00 m²",2024-11-09
KNRI11,TRADE CENTER BOTAFOGO,Estado: Rio de Janeiro,"Área bruta locável: 8.083,00 m²",2024-11-09
KNRI11,EDIFÍCIO CORPORATE LAGOA,Estado: Rio de Janeiro,"Área bruta locável: 11.687,00 m²",2024-11-09
KNRI11,CORPORATE BUENOS AIRES,Estado: Rio de Janeiro,"Área bruta locável: 6.887,00 m²",2024-11-09
KNRI11,MADISON EDIFÍCIO,Estado: São Paulo,"Área bruta locável: 8.329,00 m²",2024-11-09
KNRI11,CD CABREÚVA,Estado: São Paulo,"Área bruta locável: 178.730,00 m²",2024-11-09
KNRI11,SÃO LUIZ EDIFÍCIO,Estado: São Paulo,"Área bruta locável: 11.354,00 m²",2024-11-09
KNRI11,BIOSQUARE,Estado: São Paulo,"Área bruta locável: 41.930,00 m²",2024-11-09
KNRI11,JUNDIAÍ GLOBAL,Estado: São Paulo,"Área bruta locável: 41.468,00 m²",2024-11-09
KNRI11,CENTRO DE DISTRIBUIÇÃO ITAQUA,Estado: São Paulo,"Área bruta locável: 30.698,00 m²",2024-11-09
KNRI11,FLORIANO JOAQUIM,Estado: São Paulo,"Área bruta locável: 3.899,00 m²",2024-11-09
KNRI11,CENTRO DE DISTRIBUIÇÃO MOGI DAS CRUZES,Estado: São Paulo,"Área bruta locável: 69.113,00 m²",2024-11-09
KNRI11,PARK INDUSTRIAL JUNDIAÍ,Estado: São Paulo,"Área bruta locável: 75.976,00 m²",2024-11-09
KNRI11,CENTRO DE DISTRIBUIÇÃO POUSO ALEGRE,Estado: Minas Gerais,"Área bruta locável: 87.750,00 m²",2024-11-09
KNRI11,SUMARÉ PIB,Estado: São Paulo,"Área bruta locável: 13.836,00 m²",2024-11-09
KNRI11,ROCHAVERÁ TORRES EBONY E MARBLE,Estado: São Paulo,"Área bruta locável: 56.734,00 m²",2024-11-09
KNRI11,ROCHAVERÁ TORRE CRYSTAL,Estado: São Paulo,"Área bruta locável: 53.401,00 m²",2024-11-09
VISC11,SHOPPING GRANJA VIANNA,Estado: São Paulo,"Área bruta locável: 30.377,00 m²",2024-11-09
VISC11,CENTER SHOPPING RIO,Estado: Rio de Janeiro,"Área bruta locável: 15.144,00 m²",2024-11-09
VISC11,SHOPPING IGUATEMI BOSQUE,Estado: Ceará,"Área bruta locável: 89.833,00 m²",2024-11-09
VISC11,ILHA PLAZA SHOPPING,Estado: Rio de Janeiro,"Área bruta locável: 21.933,00 m²",2024-11-09
VISC11,SHOPPING PARALELA,Estado: Bahia,"Área bruta locável: 40.167,00 m²",2024-11-09
VISC11,MINAS SHOPPING,Estado: Minas Gerais,"Área bruta locável: 45.861,00 m²",2024-11-09
VISC11,SHOPPING PÁTIO BELÉM,Estado: Pará,"Área bruta locável: 21.727,00 m²",2024-11-09
VISC11,PRUDENSHOPPING,Estado: São Paulo,"Área bruta locável: 31.108,00 m²",2024-11-09
VISC11,SHOPPING PRAIA DA COSTA,Estado: Espírito Santo,"Área bruta locável: 39.765,00 m²",2024-11-09
VISC11,RIBEIRÃOSHOPPING,Estado: São Paulo,"Área bruta locável: 74.988,00 m²",2024-11-09
VISC11,SHOPPING TACARUNA,Estado: Pernambuco,"Área bruta locável: 49.898,00 m²",2024-11-09
VISC11,SHOPPING ABC,Estado: São Paulo,"Área bruta locável: 48.017,00 m²",2024-11-09
VISC11,WEST SHOPPING,Estado: Rio de Janeiro,"Área bruta locável: 44.234,00 m²",2024-11-09
VISC11,NORTH SHOPPING MARACANAÚ,Estado: Ceará,"Área bruta locável: 20.001,81 m²",2024-11-09
VISC11,VILLA ROMANA,Estado: Santa Catarina,"Área bruta locável: 22.438,81 m²",2024-11-09
VISC11,SHOPPING BOULEVARD,Estado: Rio de Janeiro,"Área bruta locável: 28.948,08 m²",2024-11-09
VISC11,PANTANAL SHOPPING,Estado: Mato Grosso,"Área bruta locável: 45.222,15 m²",2024-11-09
VISC11,SHOPPING PORTO VELHO,Estado: Rondônia,"Área bruta locável: 44.824,38 m²",2024-11-09
VISC11,SHOPPING CONJUNTO NACIONAL,Estado: Distrito Federal,"Área bruta locável: 43.271,00 m²",2024-11-09
VISC11,VIA SUL SHOPPING,Estado: Ceará,"Área bruta locável: 26.018,00 m²",2024-11-09
